"Код ТН ВЭД","Наименование позиции","Доп. ед. изм.","Ставка ввозной таможенной пошлины *"
"0105 11 190 0","– – – – прочие","шт","0"
"0105 11 900 0","– – – прочие","",""
"0105 11 910 0","– – – – линии несушек","шт","0"
"0105 11 990 0","– – – – прочие","шт","0"
"0105 12 000 0","– – индейки","шт","0"
"0105 13 000 0","– – утки","шт","0"
"0105 14 000 0","– – гуси","шт","0"
"0105 15 000 0","– – цесарки","шт","0"
"0105 90","– прочие","",""
"0105 94 000 0","– – куры домашние (Gallus domesticus)","шт","5%"
"0105 99 000 0","– – прочие","",""
"0105 99 100 0","– – – утки","шт","5%"
"0105 99 200 0","– – – гуси","шт","5%"
"0105 99 300 0","– – – индейки","шт","5%"
"0105 99 500 0","– – – цесарки","шт","5%"
"0106","Живые животные прочие","",""
"0106 10","– млекопитающие","",""
"0106 11 000 0","– – приматы","",""
"0106 11 001 0","– – – для научно-исследовательских целей","шт","0"
"0106 11 009 0","– – – прочие","шт","5%"
"0106 12 000 0","– – киты, дельфины и морские свиньи (млекопитающие отряда Cetacea); ламантины и дюгони (млекопитающие отряда Sirenia); тюлени, морские львы и моржи (млекопитающие подотряда Pinnipedia)","",""
"0106 12 001 0","– – – для научно-исследовательских целей","шт","0"
"0106 12 009 0","– – – прочие","шт","5%"
"0106 13 000 0","– – верблюды и прочие животные семейства верблюдовых (Camelidae)","",""
"0106 13 001 0","– – – для научно-исследовательских целей","шт","0"
"0106 13 009 0","– – – прочие","шт","5%"
"0106 14 000 0","– – кролики и зайцы","",""
"0106 14 100 0","– – – кролики домашние","",""
"0106 14 101 0","– – – – для научно-исследовательских целей","шт","5%"
"0106 14 109 0","– – – – прочие","шт","5%"
"0106 14 900 0","– – – прочие","",""
"0106 14 901 0","– – – – для научно-исследовательских целей","шт","0"
"0106 14 909 0","– – – – прочие","шт","5%"
"0106 19 000 0","– – прочие","",""
"0106 19 001 0","– – – для научно-исследовательских целей","шт","0"
"0106 19 009 0","– – – прочие","",""
"0106 19 009 1","– – – – лисицы","шт","5%"
"0106 19 009 2","– – – – песцы","шт","5%"
"0106 19 009 3","– – – – соболи","шт","5%"
"0106 19 009 4","– – – – норки","шт","5%"
"0106 19 009 9","– – – – прочие","шт","5%"
"0106 20","– рептилии (включая змей и черепах)","",""
"0106 20 001 0","– – для научно-исследовательских целей","шт","0"
"0106 20 009 0","– – прочие","шт","5%"
"0106 30","– птицы","",""
"0106 31 000 0","– – хищные птицы","",""
"0106 31 001 0","– – – для научно-исследовательских целей","шт","0"
"0106 31 009 0","– – – прочие","шт","5%"
"0106 32 000 0","– – попугаеобразные (включая попугаев, длиннохвостых попугаев, ара и какаду)","",""
"0106 32 001 0","– – – для научно-исследовательских целей","шт","0"
"0106 32 009 0","– – – прочие","шт","5%"
"0106 33 000 0","– – страусы; эму (Dromaius novaehollandiae)","",""
"0106 33 001 0","– – – для научно-исследовательских целей","шт","0"
"0106 33 009 0","– – – прочие","шт","5%"
"0106 39 000 0","– – прочие","",""
"0106 39 100 0","– – – голуби","шт","5%"
"0106 39 800 0","– – – прочие","",""
"0106 39 801 0","– – – – для научно-исследовательских целей","шт","0"
"0106 39 809 0","– – – – прочие","шт","5%"
"0106 40","– насекомые","",""
"0106 41 000 0","– – пчелы","",""
"0106 41 000 0","– – – медоносные","",""
"0106 41 000 1","– – – – матки пчелиные","шт","5%"
"0106 41 000 2","– – – – пчелопакеты","шт","5%"
"0106 41 000 3","– – – – прочие","шт","5%"
"0106 41 000 8","– – – прочие","",""
"0106 41 000 8","– – – – для научно-исследовательских целей","шт","0"
"0106 41 000 9","– – – – прочие","шт","5%"
"0106 49 000 0","– – прочие","",""
"0106 49 000 1","– – – для научно-исследовательских целей","шт","0"
"0106 49 000 9","– – – прочие","шт","5%"
"0106 90","– прочие","",""
"0106 90 001 0","– – животные для научно-исследовательских целей","шт","0"
"0106 90 009 0","– – прочие","шт","5%"
